pcode,pname,tname,acode,aname,tcode,mcode,mname,oct_side15_lat,oct_side15_lon,oct_side15_distance,oct_side15_road,oct_side15_road_name,oct_side15_road_num,oct_side15_road_distance,oct_side15_road_name2,oct_side15_road_num2,oct_side15_wmen,oct_side15_men,oct_side15_total,oct_side15_house,oct_side15_leader,oct_side15_leader_cause,oct_side15_local,oct_side15_local_name,oct_side15_local2,oct_side15_local2_name,oct_side15_local3,oct_side15_local3_name,oct_side15_local4,oct_side15_local4_name,oct_side15_local5,oct_side15_local5_name,oct_side15_river,oct_side15_river_name,oct_side15_sea,oct_side15_sea_name,oct_side15_lagoon,oct_side15_lagoon_name,oct_side15_mangrove,oct_side15_mangrove_name,oct_side15_mangrove_area,oct_side15_swamp,oct_side15_swamp_name,oct_side15_swamp_area,oct_side15_island,oct_side15_island_name,oct_side15_foth,oct_side15_foth_name,oct_side15_mountain,oct_side15_mountain_name,oct_side15_mountain_sea_leval,oct_side15_border,oct_side15_border_name1,oct_side15_border_distance1,oct_side15_border_name2,oct_side15_border_distance2,oct_side15_mm_type1,oct_side15_mm_type2,oct_side15_mm_type2_name,oct_side15_mm_type3,oct_side15_mm_type3_name,oct_side15_power,oct_side15_power_name,oct_side15_highvoltage,oct_side15_dam,oct_side15_dam_name,oct_side15_reservoir,oct_side15_reservoir_name,oct_side15_weir,oct_side15_weir_name,oct_side15_housing,oct_side15_housing_total,oct_side15_condos,oct_side15_condos_total
51,ลำพูน,นาทราย,5104,ลี้,51040300,51040318,หนองเกี๋ยง,17.73299085,98.94822881,9.5,0,,,2,ทางหลวงแผ่นดิน,1087,310,317,627,143,1,,1,นาทราย,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,0,,0,,0,,0,
51,ลำพูน,นาทราย,5104,ลี้,51040300,51040319,แพะเจริญ,17.68288231,99.01932612,22,0,,,1.2,ทางหลวงชนบท,ลพ3048,117,125,242,87,1,,1,นาทราย,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,0,,1,ฝายโต้งแพะ  ฝายปู่จั๋นตา  ฝายย่าตา,0,,0,
51,ลำพูน,นาทราย,5104,ลี้,51040300,51040317,แม่หละ,17.72204206,98.95232588,15,0,,,1.5,ทางหลวงชนบท,ลพ.3017,133,142,275,90,1,,1,องค์การบริหารส่วนตำบลนาทราย,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,1,อ่างเก็บน้ำแม่แงะ  อ่างเก็บน้ำแม่ลอง,1,ฝายไม้ม่าง  ฝายแม่หละ  ฝายป่าขุน,0,,0,
51,ลำพูน,นาทราย,5104,ลี้,51040300,51040320,นาทรายสามหลัง,17.68717036,98.98949593,16,1,ทางหลวงชนบท,ลพ.3048,,,,124,147,271,101,1,,1,นาทราย,0,,0,,0,,0,,1,แม่น้ำแม่แต๊ะ,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,1,เหมืองแร่นาทราย,1,ฝายบ้านฮั่ว  ฝายปู่ลอด,0,,0,
51,ลำพูน,นาทราย,5104,ลี้,51040300,51040321,ศรีเวียงชัย,17.73830341,98.94726053,8,1,ทางหลวงชนบท,ลพ.3017,,,,1636,1756,3392,740,1,,1,องค์การบริหารส่วนตำบลนาทราย,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,0,,0,,0,,0,
51,ลำพูน,นาทราย,5104,ลี้,51040300,51040322,ชัยวงษา,17.7433744,98.95471305,0.5,0,,,5,ทางหลวงชนบท,3017,875,945,1820,410,1,,1,องค์การบริหารส่วนตำบลนาทราย,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,0,,0,,0,,0,
51,ลำพูน,นาทราย,5104,ลี้,51040300,51040323,พระบาทพัฒนา,17.74339611,98.95229906,10,0,,,0.8,ทางหลวงชนบท,3017,458,457,915,214,1,,1,องค์การบริหารส่วนตำบลนาทราย,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,0,,0,,0,,0,
51,ลำพูน,ดงดำ,5104,ลี้,51040400,51040401,ป่าคา,17.7155486,99.03677255,17,0,,,1,พหลโยธิน,106,109,115,224,109,1,,0,,1,เทศบาลตำบลดงดำ,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,1,"อ่างเก็บน้ำห้วยอิแหละ,อ่างเก็บน้ำบ้านป่าคา",0,,0,,0,
51,ลำพูน,ดงดำ,5104,ลี้,51040400,51040402,ดงดำ,17.71290287,99.03611541,18,0,,,2,พหลโยธิน,106,166,192,358,115,1,,0,,1,เทศบาลตำบลดงดำ,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,0,,0,,0,,0,
51,ลำพูน,ดงดำ,5104,ลี้,51040400,51040403,บวก,17.73803389,99.03691873,15,1,พหลโยธิน,106,,,,482,465,947,297,1,,0,,1,เทศบาลตำบลดงดำ,0,,0,,0,,1,"แม่แวน, แม่ลอง",0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,1,"อ่างเก็บน้ำปะปาหมู่บ้าน, อ่างเก็บน้ำแม่เเวนน้อย",1,"ฝายวังปุย, ฝายโต้งโป้ง, ฝายป่าแฝก, ฝายดงดำ, ฝายปู่พอก, ฝายป่าคา, ฝายหนองผำ, ฝายเด่นดู่,ฝายแม่แวน",0,,0,
51,ลำพูน,ดงดำ,5104,ลี้,51040400,51040404,ห้วยหญ้าไซ,17.70285739,99.06138182,20,1,พหลโยธิน,106,,,,342,346,688,217,1,,0,,1,เทศบาลตำบลดงดำ,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,1,0,,0,,0,,0,0,,1,อ่างเก็บน้ำกลางบ้านห้วยหญ้าไซ,0,,0,,0,
51,ลำพูน,ดงดำ,5104,ลี้,51040400,51040405,ปางส้าน,17.74300653,99.02458325,12,1,พหลโยธิน,106,,,,342,357,699,206,1,,0,,1,เทศบาลตำบลดงดำ,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,1,"อ่างเก็บน้ำห้วยเกี๊ยะ,อ่างเก็บน้ำห้วยถ้ำ",1,"ฝายโปงก่าง,ฝายปูเเกง",0,,0,
